ShortName,CIN,Address,SateCode,VAT,Name
AMERICAN NUCLEAR SOC,,.,USA,,American Nuclear Society
UNIVERSITY OF ZURICH,,Zurich,CHE,CHE-115.665.634,UNIVERSITY OF ZURICH
DIGITAL SURF HEADQUA,,",",FRA,,Digital Surf Headquarters
OSA OPTIKAL SOCIETY,,Washington,USA,,OSA optikal Society of America
STELLARNET INC.,,TAMPA,USA,,StellarNet Inc.
TELAZTEC LLC,,BURLINGTON,USA,,TelAztec LLC
CASTECH INC.,,FUZHOU,CHN,,Castech Inc.
WLD-TEC GMBH,,Arenshausen,DEU,DE813534255,WLD-TEC GMBH
SPECTROGON AB,,TABY,SWE,SE556405655301,Spectrogon AB
ARNOTEC GMBH,,Karlsruhe,DEU,DE202996237,arnotec GmbH
LEBOW,,GOLETA,USA,,LEBOW
AMPLIFY EVENTMARKET.,,Utrecht,NLD,NL8638.11.231L01,AMPLIFY EVENTMARKET.
CZECH-IN S.R.O.,48582387,PRAHA,CZE,CZ48582387,CZECH-IN s.r.o.
ABEBOOKS,,FALLS CHURCH,USA,IM2760001632,ABEBOOKS
SAFETYCULTURE PTY LT,,Townsville,AUS,,SafetyCulture Pty Ltd
CIMAKA INTERN. GMBH,,BULACH,CHE,DE815371214,CIMAKA Intern. GmbH
HARBER IP S.R.O.,6735932,PRAHA 7,CZE,CZ06735932,HARBER IP s.r.o.
EURADOS-EUROPEAN RAD,,Neuherberg,DEU,DE283696163,EURADOS-EUROPEAN RADIATION DOSIMETRY GROUP
KURT LESKER,,EAST SUSSEX,GBR,FR87482741089,KURT LESKER
KEYENCE INTERNATIONA,,Mechelen,BEL,DE287410591,Keyence International (Belgium) NV/SA
SSTI-SERVICE DE SANT,,BORDEAUX,FRA,FR73781837448,SSTI-SERVICE DE SANTE AU TRAVAIL INTER-ENTREPRISES
QPHOTONICS LLC,,Ann Arbor,USA,,Qphotonics llc
FEMTONIKA S.R.O.,7101121,ZBÝŠOV,CZE,CZ07101121,Femtonika s.r.o.
IRELEC,,SAINT MARTIN D´HERES,FRA,FR62333401271,IRELEC
GMW,,SAN CARLOS,USA,,GMW Associates Inc
ERICELAB,,ERICE,ITA,IT02006250811,ERICELAB FORMAZIONE E STUDIAVANZAT
UPPSALA UNIVERSITY,,UPPSALA,SWE,SE202100293201,Uppsala University
MILENTIJA POPOVICA,,BEOGRAD,SRB,,MILENTIJA POPOVIČA
TECHPLASTY S.R.O.,,Zilina,SVK,SK2020444481,TECHPLASTY s.r.o.
UNIVERZITA PAVLA JOZ,,Košice,SVK,SK2021157050,Univerzita Pavla Jozefa Šafárika v Košiciach
BAL-TEC DIV.MICRO SU,,Los Angeles,USA,,"Bal-tec DIV.MICRO SURFACE ENGR., INC."
"SPECION, S.R.O.",48112836,PRAHA 4,CZE,CZ48112836,"SPECION, s.r.o."
BARELY DIGITAL GMBK,,.,DEU,HU30499654,BARELY DIGITAL GMBK AND CO.
THOMANN GMBH,,Burgebrach,DEU,DE257375233,THOMANN GMBH
ACAL BFI GERMANY GMB,,DIETZENBACH,DEU,DE145765000,ACAL BFI GERMANY GMBH
"NEO4J, INC.",,CA,USA,,"Neo4j, Inc."
AMPLIFY EVENTMARKETI,,Utrecht,NLD,NL20ASNB0932240836,AMPLIFY EVENTMARKETING
MP DIMS A.S.,29391181,PRAHA 9,CZE,CZ29391181,MP DIMS a.s.
JAGIELLONIAN UNIVERS,,KRAKOW,POL,PL6750002236,Jagiellonian University BOI
FOUNDATION FOR THE D,,GDANSK,POL,PL5840304578,FOUNDATION FOR THE DEVELOPMENT OF THE UNIVERSITY OF GDANSK
WEHBERG SAFETY,,LÜDENSCHEID,DEU,DE123841405,WEHBERG SAFETY
FORMEDIUM LTD,,HUNSTANTON,GBR,GB803727440,FORMEDIUM LTD
CENTRO NACIONAL DE P,,CAMPINAS/SP,BRA,,CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS(CNPEM)
NEA-NUCLEAR ENERGY A,,BOULOGNE-BILLANCOURT,FRA,,OECD Nuclear Energy Agency (NEA)
CLEVERBRIDGE AG,244822460,Cologne,DEU,DE244822460,cleverbridge AG
JENOPTIK,,Jena,DEU,DE811846020,JENOPTIK Laser GmbH
"D - EX LIMITED, SPOL",18827187,BRNO,CZE,CZ18827187,"D - Ex Limited, spol. s r.o."
CLEO CONFERENCE AND,,Washington,USA,,CLEO CONFERENCE AND EXHIBITION
NARODNA DIALNICNA SP,35919001,Bratislava,SVK,SK2021937775,NÁRODNÁ DIALNIČNÁ SPOLOČNOST
PATENT OCH REGISTRER,,STOCKHOLM,SWE,,PATENT OCH REGISTRERINGS VERKET
INTELLECTUAL PROPERT,,LONDON,GBR,,Intellectual Property Office
TESORERIA DELLO STAT,,Roma,ITA,,TESORERIA DELLO STATO
PATENTTI JA REKISTER,,Helsinky,FIN,,PATENTTI JA REKISTERIHALLITUS
OFFICE DE LA PROPRIE,,Bruxelles,BEL,,OFFICE DE LA PROPRIETE INTELLECTUELLE
CYCLE GMBH,,HAMBURG,DEU,DE815555040,Cycle GmbH
UFCH JH,61388955,PRAHA 8,CZE,CZ61388955,"Ústav fyzikální chemie J. Heyrovského AV ČR, v. v. i."
FASE 20 S.L,,Granada,ESP,,FASE 20 S.L
HUNGUEST HOTELS ZRT,,SZEGED,HUN,HU12155169,HUNGUEST HOTELS ZRT -FORRAS
STUDIO BONINI SRL,,VICENZA,ITA,IT01792420240,Studio Bonini srl
UCF UNIVERSITY OF CE,,Orlando,USA,,UCF UNIVERSITY OF CENTRAL FLORIDA
AMES GOLDSMITH CEIMI,,DUNDEE,GBR,,AMES GOLDSMITH CEIMIG LTD
"VIAGENS ABREU, SA",,Lisabon,PRT,PT500297177,"Viagens Abreu, SA"
BERKELEY NUCLEONICS,,SAN RAFAEL,USA,,Berkeley Nucleonics Corporation
SCHLENK METALLFOLIEN,,ROTH-BARNSDORF,DEU,DE812732440,Schlenk Metallfolien GMBH
BIBUS,46346635,BRNO - ŠTÝŘICE,CZE,CZ46346635,BIBUS
D-EX INSTRUMENTS,28256468,BRNO,CZE,CZ28256468,D-Ex Instruments
REVOLGY BUSINESS SOL,25082159,PRAHA,CZE,CZ25082159,Revolgy Business Solutions a.s.
LINKEDIN IRELAND UNL,,DUBLIN,IRL,IE9740425P,LINKEDIN IRELAND UNLIMITED
KEYENCE INTERNATION,,Mechelen,BEL,BE0826207990,Keyence International
"UDEMY,INC.",,San Francisco,USA,EU372008054,"UDEMY,INC."
ENTWICKLUNGSBURO STR,DE 1358323,BERLIN,DEU,DE135832325,Entwicklungsbüro Stresing
ADMAT SASU,,LUDRES,FRA,FR82844363069,ADMAT SASU
ONYX OPTICS INC.,,Sierra Lane,USA,,Onyx Optics Inc.
LLNS,,LIVERMORE,USA,,LLNS-Lawrence Livermore National Security
EVENTBRITE,,San Francisco,USA,,EVENTBRITE
HEINRICH KIPP WERK K,,SULZ AM NECKAR,DEU,DE253564707,HEINRICH KIPP WERK KG
UNIVERSIDAD POLITEC,,MADRID,ESP,,Universidad Politécnica de Madrid
KOSZALIN UNIVERSITY,,KOSZALIN,POL,,KOSZALIN UNIVERSITY OF TECHNOLOGY
ARKANCE SYST.-CAD CADSTUDIO s.r.o.,26197081,PRAHA,CZE,CZ26197081,Arkance Systems CZ s.r.o.
AARHUS UNIVERSITET,,AARHUS,DNK,DK31119103,AARHUS UNIVERSITET
FASTSPRING,,SANTA BARBARA,USA,EU372017645,FastSpring
WINFORD ENGINEERING,,Auburn,USA,,Winford engineering LLC
VACOM,,Grosslobichau,DEU,DE150538086,VACOM Vakuum Komponenten & Messtechnik GmbH
"ZKUSEBNICTVI, A. S.",45274355,PRAHA,CZE,CZ45274355,"Zkušebnictví, a. s."
OECD,,Paris,FRA,,Organisation for economicco-operation and development
FUCHS OIL CORPORATIO,41188063,ŘÍČANY,CZE,CZ41188063,"Fuchs Oil Corporation, s.r.o."
TRADESOL GROUP LTD,,London,GBR,,Tradesol Group Ltd
JACEK LENDZIEWICZ JO,,Krakow,POL,PL6790063497,JACEK LENDZIEWICZ JORDAN GROUP
EUROPEAN FOUNDATION,,Basel,CHE,,european foundation for clinical nanomedicine
BERTFELT TECHNIK AB,,SKARPNACK,SWE,SE556398784001,BERTFELT TECHNIK AB
HOLZWORTH,,BOULDER,USA,,Holzworth
LEARN2CODE,,ŽILINA,SVK,SK2023850763,LEARN2CODE
AERODIODE,,TALENCE CEDEX,FRA,FR87880329636,AERODIODE
"EDX, INC.",,Cambridge,USA,,"EDX, INC."
"TRUMPF PRAHA, SPOL.S",48583316,PRAHA 5,CZE,CZ48583316,"TRUMPF Praha, spol.s r.o."
CLEAVER SCIENTIFIC L,,Warwickshire,GBR,GB849271301,CLEAVER SCIENTIFIC LTD
K&J MAGNETICS INC.,,Pipersville,USA,,K&J MAGNETICS INC.
JAPAN LASER CORPORAT,,Tokyo,JPN,,JAPAN LASER CORPORATION
DASSAULT SYSTEMES SE,,VELIZY-VILLACOUBLAY CEDEX,FRA,FR52322306440,DASSAULT SYSTEMES SE
"LASER, OPTICS AND PH",,CARDIFF,GBR,,"LASERM, OPTICS AND PHOTONICS"
SOMMER GMBH,,NEUHAUSEN,DEU,DE147861123,SOMMER GmbH
ATTOCUBE SYSTEMS AG,,MUNCHEN,DEU,DE813357627,Attocube systems AG
DPM PHOTONICS,,VERNON HILLS,USA,,DPM Photonics
HEBERLEIN GMBH,,HEMER,DEU,DE263126362,HEBERLEIN GMBH
BBK MUNCHEN,,MUNCHEN,DEU,,BBK MUNCHEN
INT.PROP.IRELAND,,Dublin 1,IRL,,INTELLECTUAL PROPERTY OFFICE OF IRELAND
OPTITEMP,,MIAMI,USA,,OPTITEMP
MATERIAL-UI SAS,,PARIS,FRA,FR93852357748,MATERIAL-UI SAS
PICOQUANT GMBH,,BERLIN   NĚMECKO,DEU,DE812140373,PicoQuant GmbH
KIT,,KARLSRUHE,DEU,DE266749428,KIT
SWISS FEDERAL INSTIT,,BERN,CHE,,SWISS FEDERAL INSTITUTE OF INTELLECTUAL PROPERTY
UAB ALTECHNA,123S42064,VILNIUS,LTU,LT235420610,UAB Altechna
ELECTRO-OPTICS TECH.,,Traverse City,USA,,"Electro-optics Tech., Inc."
BERGENSTRAHLE + PART,,STOCKHOLM,SWE,SE556206431001,BERGENSTRAHLE + PARTNERS
CHEMPUR INR PARTNER,,Karlsruhe,DEU,DE811938359,Chempur Inr Partner fur Chemie & Physik
CASANA TEC S.L,,Puntagorda,ESP,,CaSana tec S.L
ALMA DRIVING ELEMENT,,Schollbrunn,DEU,DE146581528,Alma driving elements GMBH
PLX,,New York,USA,,PLX INC.
"AREMCO PRODUCTS, INC 707-B Executive Boulevard, Valley Cottage",,New York,USA,,"AREMCO PRODUCTS, Inc."
OERLIKON AM EUROPE G,,BARLEBEN,DEU,DE184473237,Oerlikon Am Europe GmbH
VIGO SYSTEM S.A.,,Ozarow Mazowiecki,POL,PL5270207340,VIGO System S.A.
VACUUM INNOVATIONS,,New York,USA,,VACUUM INNOVATIONS
SPIE PHOTONICS WEST,,SAN FRANCISCO,USA,,SPIE Photonics West
MMF-METRA MESS UND F,,RADEBEUL,DEU,DE242042214,MMF-METRA MESS UND FREQUENZTECHNIK IN RADEBEUL
MITUTOYO CESKO S.R.O,25458400,TEPLICE,CZE,CZ25458400,Mitutoyo Česko s.r.o.
SPED ART S.R.O.,9301011,PRAHA,CZE,CZ09301011,SPED ART s.r.o.
BDO CZECH REPUBLIC S,26402220,PRAHA 5,CZE,CZ26402220,BDO Czech Republic s.r.o.
NESS CZECH S.R.O.,45786259,PRAHA 4,CZE,CZ45786259,NESS Czech s.r.o.
ELEKTROTECHNICKY SVA,418072,PRAHA 4,CZE,,Elektrotechnický svaz český
SCHENKER SPOL.S.R.O.,61500780,NUČICE,CZE,CZ61500780,SCHENKER SPOL.S.R.O.
SFERON ENGINEERING S,5522072,LUTÍN,CZE,CZ05522072,Sferon engineering s.r.o.
"SYNONYM, S. R. O.",9941835,CHEB,CZE,CZ09941835,"SYNONYM, s. r. o."
"MIRACLE NETWORK, SPO",48110817,PRAHA,CZE,CZ48110817,"Miracle Network, spol. s r.o."
"REZANINA & BARTON, S",24286923,HRADEC KRÁLOVÉ,CZE,CZ24286923,"ŘEZANINA & BARTOŇ, s.r.o."
NUVIA A. S.,25506331,TŘEBÍČ,CZE,CZ25506331,NUVIA a.s.
"ALEF NULA, A.S.",61858579,PRAHA 8,CZE,CZ61858579,"ALEF NULA, a.s."
AUTOTYP H+S S.R.O.,28223373,PRAHA,CZE,CZ28223373,Autotyp H+S s.r.o.
LUSKNI CZ S.R.O.,11754613,UNIČOV,CZE,CZ11754613,Luskni CZ s.r.o.
VKF RENZEL CR S.R.O.,4934296,PRAHA,CZE,CZ04934296,VKF Renzel ČR s.r.o.
"DATA FORCE, S.R.O.",2967171,PRAHA,CZE,CZ02967171,"Data Force, s.r.o."
STOW CESKA REPUBLIKA,25067940,ŘÍČANY U PRAHY,CZE,CZ25067940,Stow Česká republika s.r.o.
GATEMA S.R.O.,60749954,BOSKOVICE,CZE,CZ60749954,Gatema s.r.o.
MAINSTREAM TECHNOLOG,27404978,PRAHA,CZE,CZ27404978,"Mainstream Technologies, s.r.o."
TROX KS FILTER,24237574,PŘÍBRAM,CZE,CZ24237574,TROX KS Filter a.s.
SITEL,44797320,PRAHA 4,CZE,CZ44797320,"SITEL, spol. s r.o."
BRIOL S.R.O.,25298623,Čistá,CZE,CZ25298623,Briol s.r.o.
P-LAB,63078601,PRAHA,CZE,CZ63078601,P - LAB a.s.
"NEMEC POLAK, SPOL.",49678183,PRAHA,CZE,CZ49678183,"NĚMEC POLÁK, spol.  s r.o."
ZTC ELECTRONIC PRAHA,499463,PRAHA 5,CZE,CZ00499463,"ZTC electronic Praha, s.r.o."
APB - PLZEN A.S.,27066410,Losiná,CZE,CZ27066410,APB - PLZEŇ a.s.
GEFOS A.S.,25684213,PRAHA 8,CZE,CZ25684213,GEFOS a.s.
EVERMAX S.R.O.,27401006,PRAHA,CZE,CZ27401006,EverMAX s.r.o.
CESKY METROLOGICKY I,177016,BRNO,CZE,CZ00177016,Český metrologický institut
JIRI LISA,15654192,DĚČÍN,CZE,CZ481225195,Jiří Lisa
NARRAN S.R.O,1835483,BRNO 2,CZE,CZ01835483,Narran s.r.o
GATEMA PCB A.S.,8976295,BOSKOVICE,CZE,CZ08976295,Gatema PCB a.s.
ING. MARTIN HLAVAC,42588413,BRNO,CZE,CZ7304173976,Ing. Martin Hlaváč
ADVOKATNI KANCELAR H,24784681,PRAHA,CZE,CZ24784681,"Advokátní kancelář Hartmann, Jelínek, Fráňa a partneři, s.r.o."
DELL COMPUTER,45272808,PRAHA 11,CZE,CZ45272808,"DELL COMPUTER , spol. s r.o."
SKO SPOL.S.R.O.,26817233,OPAVA,CZE,CZ26817233,SKO spol.s.r.o.
ALTRAN A.S. CZ,2673703,HOŘICE,CZE,CZ02673703,Altran CZ a.s.
VYSKY.MORAVA S.R.O.,28623487,OSTRAVA,CZE,CZ28623487,Výšky.Morava s.r.o.
MONITORE SE,1421069,PRAHA,CZE,CZ01421069,MONITORE SE
GREEN CENTER S.R.O.,47121572,PRAHA,CZE,CZ47121572,Green Center s.r.o.
TRIGON-PLUS S.R.O.,46350110,ČESTLICE,CZE,CZ46350110,Trigon-plus s.r.o.
"NOVOMESTSKA RADNICE,",75092972,PRAHA,CZE,CZ75092972,"Novoměstská radnice, příspěvková organizace"
MGR. LUDMILA HLINKOV,49502140,KAMENICE,CZE,,"Mgr. Ludmila Hlinková, Dr."
"H + H TECHNIKA, SPOL",49436686,ROUSÍNOV,CZE,CZ49436686,"H + H TECHNIKA, spol. s r.o."
"WOODCOTE CZ, A.S.",61860085,PRAHA,CZE,CZ61860085,"WOODCOTE CZ, a.s."
EP ROZNOV,45193631,ROŽNOV POD RADHOŠTĚM,CZE,CZ45193631,"EP Rožnov, a.s."
STANEC S.R.O.,26429306,PRAHA,CZE,CZ26429306,Stantec s.r.o.
KAROLAS LEGAL S.R.O.,5732069,PRAHA,CZE,CZ05732069,"KAROLAS Legal s.r.o., advokátní kancelář"
PRECIOSA,12556,JABLONEC NAD NISOU,CZE,CZ00012556,"PRECIOSA, a.s."
KOVOS DRUZSTVO TEPLI,29289,VERNEŘICE,CZE,CZ00029289,KOVOS družstvo Teplice
ALTEPRO SOLUTIONS A.,3665496,PRAHA,CZE,CZ03665496,ALTEPRO solutions a.s.
"APARATEA, S.R.O.",25311191,BRNO,CZE,CZ25311191,"APARATEA, s.r.o."
"STYL PROFI,SPOL. S R",25133489,PRAHA,CZE,CZ25133489,"STYL PROFI, spol. s r.o."
"TECHCLEAN, S.R.O.",60777541,OSTRAVA,CZE,CZ60777541,"TechClean, s.r.o."
PROFIBER NETWORKING,27894754,PRAHA 4,CZE,CZ27894754,"PROFiber Networking CZ, s.r.o."
SOLARIS PRODUCTION S,27795250,ÚHONICE,CZE,CZ27795250,Solaris Production s.r.o.
COOL JEZEK S.R.O.,9896147,PRAHA,CZE,CZ09896147,Cool Ježek s.r.o.
GLEICH ALUMINIUM S.R,27301222,LIBEREC,CZE,CZ27301222,GLEICH Aluminium s.r.o.
TOX PRESSOTECHNIK S.,6770975,BRNO,CZE,CZ06770975,TOX PRESSOTECHNIK s.r.o.
"VYSTAVNICTVI PRAHA,",25756257,PRAHA,CZE,CZ25756257,"VÝSTAVNICTVÍ PRAHA, a.s."
PRUMEX,26892332,HRUŠOVANY NAD JEVIŠOVKOU,CZE,CZ26892332,PRUMEX s.r.o
"HP TRONIC ZLIN,SPOL.",49973053,ZLÍN,CZE,CZ49973053,"HP TRONIC Zlín, spol. s r.o."
"KUBA LIBRI, S.R.O.",29149177,PRAHA 10,CZE,CZ29149177,"Kuba Libri, s.r.o."
TOPVODKA S.R.O.,8830592,LEŠANY,CZE,CZ08830592,Topvodka s.r.o.
JAN MRKVICA,61624233,PRAHA,CZE,CZ7502125246,Jan Mrkvica
BETONRIZ - DVEREX S.,28675754,JABLONEC NAD NISOU,CZE,CZ28675754,BETONŘÍZ - DVEREX s.r.o.
JYSK S.R.O.,26760746,PRAHA,CZE,CZ26760746,JYSK s.r.o.
STAVEBNINY DEK A.S.,3748600,PRAHA,CZE,CZ699000797,Stavebniny DEK a.s.
TOMAS DRAHONOVSKY,2767392,PRAHA,CZE,CZ8408063455,Tomáš Drahoňovský
"LIKO-S, A.S.",60734795,SLAVKOV U BRNA,CZE,CZ60734795,"LIKO-S, a.s."
HENNLICH S.R.O.,14869446,LITOMĚŘICE,CZE,CZ14869446,HENNLICH s.r.o.
IAESTE LC LIBEREC,70961816,LIBEREC,CZE,CZ70961816,IAESTE LC Liberec
BIO-TECHNE R&D SYSTE,5752833,PRAHA,CZE,CZ05752833,Bio-Techne R&D Systems s.r.o.
FILIP FLUSSER,71523014,PRAHA,CZE,CZ7710250438,Filip FLUSSER
MAVERICKS ADVOKATI S,6696783,PRAHA 1,CZE,CZ06696783,MAVERICKS advokáti s.r.o.
RICHARD MACH,67414524,PRAHA,CZE,CZ7701100099,Richard Mach
"RAYO ENGINEERING, S.",28945280,BRNO,CZE,CZ28945280,"Rayo Engineering, s.r.o."
ZITNIK PETR,68904002,HORNÍ BEČVA,CZE,CZ7703165723,Petr Žitník
NEOB ENERGY S.R.O.,3709434,ZASTÁVKA,CZE,CZ03709434,NEOB Energy s.r.o.
MARTIN CAVAR,63063310,DAVLE,CZE,CZ7001160287,Martin Cavar
"SUNTECH COMPUTER, SP",26738431,PRAHA,CZE,CZ26738431,"SUNTECH computer, spol. s r.o."
ARIGA S.R.O.,25130293,PRAHA,CZE,CZ25130293,ARIGA s.r.o.
PROLOV S.R.O.,26359219,KLATOVY,CZE,CZ26359219,PROLOV s.r.o.
PRIMETEC S.R.O.,5612349,Žákava,CZE,CZ05612349,PRIMETEC s.r.o.
ASPHERICON S.R.O.,4670361,LIBEREC,CZE,CZ04670361,asphericon s.r.o.
VENTILE & FITTINGS P,48034932,LÍBEZNICE,CZE,CZ48034932,VENTILE & FITTINGS PRAHA SPOL.S R.O.
KOZAK SVITAVY S.R.O.,27540316,SVITAVY,CZE,CZ27540316,Kozák Svitavy s.r.o.
JPM GROUP S.R.O.,27424782,PRAHA,CZE,CZ27424782,JPM Group s.r.o.
ZARIZENI OBCHODU S.R,5529492,PRAHA,CZE,CZ05529492,ZAŘÍZENÍ OBCHODŮ s.r.o.
BIOTECHNOLOGICKY UST,86652036,VESTEC,CZE,CZ86652036,"Biotechnologický ústav AV ČR, v.v.i."
ADAM ZIDEK,74377141,BŘEZOVÁ,CZE,,Adam Žídek
SCHRACK ENERGIETECHN,15039137,PRAHA 10 - HOSTIVAR,CZE,CZ15039137,SCHRACK ENERGIETECHNIK s.r.o.
"GEOVAP, SPOL. S R.O.",15049248,PARDUBICE,CZE,CZ15049248,"GEOVAP, spol. s r.o."
"VERLAG DASHOFER,NAKL",45245681,PRAHA 6 - VOKOVICE,CZE,CZ45245681,"Verlag Dashöfer, nakladatelství, spol. s r.o."
MM-PRAHA S.R.O.,27227405,PRAHA,CZE,CZ27227405,MM-PRAHA s.r.o.
NAKLADATELSTVI C. H.,24146978,PRAHA    1,CZE,CZ24146978,"Nakladatelství C. H. Beck, s. r. o."
"ILLKO, S.R.O.",49970780,BLANSKO,CZE,CZ49970780,"ILLKO, s.r.o."
DOBRE STROJE S.R.O.,29290147,BLANSKO,CZE,CZ29290147,DOBRÉ STROJE s.r.o.
LAKA CZ S.R.O.,25131770,PRAHA 5,CZE,CZ25131770,LAKA CZ s.r.o.
DEN BRAVEN CZECH 001,26872072,ÚVALNO,CZE,CZ26872072,Den Braven Czech and Slovak a.s.
JINDRICH HOLEC,70398950,Vojkovice,CZE,CZ7603130040,Jindřich Holec
ONIO S.R.O.,27712885,BRNO,CZE,CZ27712885,ONIO s.r.o.
VLADIMIR MARIK,12515477,PRAHA 6,CZE,CZ530831256,Vladimír Mařík
BETAFENCE S.R.O.,29197112,BRNO,CZE,CZ29197112,Betafence s.r.o.
INDUSTRIAL SAFETY CS,26418983,PRAHA,CZE,CZ26418983,INDUSTRIAL SAFETY CS s.r.o.
ONDREJ VESELY,88801888,PRAHA 10,CZE,CZ8405010053,Ondřej Veselý
MICHAL KOSELJA,74765167,TURNOV,CZE,,Michal Košelja
AHI CARRIER CZ S.R.O,28896599,PRAHA,CZE,CZ28896599,AHI CARRIER CZ s.r.o.
NORMAN ROURKE PRYME,26936151,BRNO,CZE,CZ26936151,norman rourke pryme s.r.o.
SIEMENS INDUSTRY,25651897,Praha 4,CZE,CZ25651897,"Siemens Industry Software, s.r.o."
"GT ATELIER GEODEZIE,",25792547,PRAHA,CZE,CZ25792547,"GT ATELIÉR GEODÉZIE, spol. s r.o."
"TECHSEAL, S. R. O.",27179320,PRAHA 10-ŠTĚRBOHOLY,CZE,CZ271179320,"TECHSEAL, s. r. o."
BARTON A PARTNER S.R,26810093,OLOMOUC,CZE,CZ26810093,Bartoň a Partner s.r.o.
"MAR SERVIS PLUS, S.R",25563963,BRNO,CZE,CZ25563963,"MaR Servis Plus, s.r.o."
"NUVIA DOSIMETRY, S.R",45240043,PRAHA 8,CZE,CZ45240043,"NUVIA Dosimetry, s.r.o."
PILOUS,60727551,BRNO,CZE,CZ60727551,PILOUS
DAVID DRAGOUN,62092332,PRAHA,CZE,,David Dragoun
KERAMIKA SOUKUP A.S.,26356872,PLZEŇ,CZE,CZ26356872,KERAMIKA SOUKUP a.s.
"TESTIMA, SPOL. S R.O",40613186,PRAHA,CZE,CZ40613186,"TESTIMA, spol. s r.o."
HYDAC SPOL. S R.O.,48200441,PLANÁ NAD LUŽNICÍ,CZE,CZ48200441,Hydac spol. s r.o.
S. U. P. SPOL. S R.,18827772,BRNO,CZE,CZ18827772,S. U. P. spol. s r. o.
VN SPORT S.R.O.,27259676,POHOŘÍ,CZE,CZ27259676,VN Sport s.r.o.
PLASTENCO DESIGN S.R,10823620,PRAHA,CZE,,Plastenco design s.r.o.
MARTIN ZEMIANEK,88194442,KARLOVY VARY,CZE,CZ8604022427,Martin Zemianek
RADEK MENSIK,65150830,PÍŠŤ,CZE,CZ7708125568,Radek Menšík
STROJE A VYBAVENI S.,5595436,ROŽNOV POD RADHOŠTĚM,CZE,CZ05595436,Stroje a vybavení s.r.o.
"BIOTECH, A.S.",25664018,PRAHA 10,CZE,CZ25664018,"BioTech, a.s."
CHROMSERVIS S.R.O,25086227,PRAHA 10 - PETROVICE,CZE,CZ25086227,Chromservis s.r.o
KR PROTECT SPOL. S R,60487101,PRAHA,CZE,CZ60487101,KR protect spol. s r.o.
WHE S.R.O.,3679128,DOBRUŠKA,CZE,CZ03679128,WHE s.r.o.
VIVAYACHT S.R.O.,1717944,PRAHA,CZE,CZ01717944,VivaYacht s.r.o.
PRAGUE MARATHON,63673738,Praha 7,CZE,63673738,"Prague International Marathon, s.r.o."
PRVNI HANACKA BOW S,47670631,OLOMOUC,CZE,CZ47670631,"První hanácká BOW, spol. s r. o."
JERABY VINECKY S.R.O,17569508,PSÁRY,CZE,,JEŘÁBY Vinecký s.r.o.
INSIGHT COM. S.R.O.,7689951,BRNO,CZE,CZ07689951,Insight Com. s.r.o.
YOTTA VOLT S.R.O.,9682911,PRAHA,CZE,CZ09682911,Yotta Volt s.r.o.
"BASYS CS, S.R.O.",49615581,PRAHA,CZE,CZ49615581,"BaSys CS, s.r.o."
"GAROMA PLUS, S.R.O.",26916801,BRNO,CZE,CZ26916801,"GAROMA Plus, s.r.o."
WINTERHALTER GASTRON,43750176,MODLETICE,CZE,CZ43750176,Winterhalter Gastronom s.r.o.
CRYTUR,25296558,TURNOV,CZE,CZ25296558,"CRYTUR, spol.s r.o."
SAMOLEPKY.CZ S.R.O.,27170012,PRAHA,CZE,CZ27170012,SAMOLEPKY.CZ s.r.o.
AT ONLINE MEDIA S.R.,24719838,PRAHA,CZE,CZ24719838,AT online media s.r.o.
PETR KASE,61647586,PETROV,CZE,CZ7209100228,Petr Kaše
SAHM S R.O.,41193962,Praha 3,CZE,CZ41193962,Sahm s r.o.
UFP,61389021,PRAHA 8,CZE,CZ61389021,"Ústav fyziky plazmatu AV ČR, v.v.i."
PTACEK - VELKOOBCHOD,25501143,BRNO,CZE,CZ25501143,"Ptáček - velkoobchod, a. s."
"MCAE SYSTEMS, S.R.O.",60755431,KUŘIM,CZE,CZ60755431,"MCAE Systems, s.r.o."
T.E.A. TECHNIK S.R.O,25588354,POPUVKY,CZE,CZ25588354,T.E.A. Technik s.r.o.
COLSYS S.R.O.,14799634,KLADNO - DUBÍ,CZE,CZ14799634,Colsys s.r.o.
FIDANTA S.R.O.,3250377,OSTRAVA,CZE,CZ03250377,Fidanta s.r.o.
STATNI URAD PRO JADE,48136069,PRAHA,CZE,,Státní úřad pro jadernou bezpečnost
"ALS CZECH REPUBLIC,",27407551,PRAHA,CZE,CZ27407551,"ALS Czech Republic, s.r.o."
"DIMER, SPOL. S.R.O.",60737573,ZLÍN,CZE,CZ60737573,"DIMER, spol. s.r.o."
"SCHINDLER CZ, A.S.",27127010,PRAHA 5,CZE,CZ27127010,"Schindler CZ, a.s."
DC SOLUTIONS S.R.O.,5263247,PRAHA,CZE,CZ05263247,DC Solutions s.r.o.
"GM ELECTRONIC, SPOL.",549274,PRAHA 6,CZE,CZ00549274,"GM electronic, spol. s r.o."
SERVISBAL OBALY S.R.,49811169,DOBRUŠKA,CZE,CZ49811169,SERVISBAL OBALY s.r.o.
"FAST CR, A.S.",26726548,PRAHA 10,CZE,CZ26726548,"FAST ČR, a.s."
"BIOING, S.R.O.",1880365,IVANČICE,CZE,CZ01880365,"BioIng, s.r.o."
