"code","description"
"R620","rack 19"""
"R621","EXP1_HHG1, UR4.1, rack 19"""
"R622","E1-EXP2_HHG2, UR4.2, rack 19"""
"R623","rear: E1-EXP1-HHG1, front: EXP3_HHG3, UR4.3, rack 19"""
"R624","E1-EXP4-MAC, UR4.4, rack 19"""
"R625","E1-EXP5-PXS, UR4.5, rack 19"""
"R626","E1-EXP6-SRS, UR4.6, rack 19"""
"R627","UR4.7, rack 19"""
"R628","UR4.8, rack 19"""
"R629","UC01"
"R630","UC02"
"R641","CAB1.1"
"R642","CAB1.2"
"R643","CAB1.3"
"R644","CAB1.4"
"R645","CAB1.5"
"R646","CAB1.6"
"R647","CAB1.7"
"R651","CAB2.1, CAB4_PERI"
"R652","CAB2.2, CAB5_HHG"
"R653","CAB2.3, CAB6_FOCUS"
"R654","CAB2.4, CAB7_DIAG"
"R655","CAB2.5, CAB8-PXS"
"R657","CAB2.7, CAB12-SRS"
"R658","CAB2.8"
"R631","E1_IO01, PSI cabinet"
"R632","E1_IO02, PSI"
"R633","E1_IO03, PSI"
"R634","E1_IO04, PSI"
"R635","E1_TK01, PSI"
"R636","E1_HMI01, PSI"
"R637","E1_HMI02, PSI"
"R638","E1_HMI03, PSI"
"R639","PXS"
"R659","PH03"
"BV573","L4F beam transport Vacuum, VAT 26432-KA41"
"BV574","L4F beam transport Vacuum, VAT 26432-KA41"
"BV575","L4F beam transport Vacuum, VAT 26432-KA41"
"BV576","L4F beam transport Vacuum, VAT 26432-KA41"
"RV565","L4F beam transport Vacuum, VAT 29240-QA41"
"RV566","L4F beam transport Vacuum, VAT 29240-QA41"
"WRG565","LEYBOLD 230070V02"
"WRG566","LEYBOLD 230070V02"
"APG563","L4F beam transport Vacuum, MKS 910-22034 "
"APG564","L4F beam transport Vacuum, MKS 910-22034 "
"APG565","L4F beam transport Vacuum, MKS 910-22034 "
"VV565","L4F Beam transport Vacuum, VAT 26428-KA08"
"VV566","L4F Beam transport Vacuum, VAT 26428-KA08"
"VV569","L4F Beam transport Vacuum, VAT 26428-KA08"
"VV567","L4F Beam transport Vacuum, VAT 26428-KA41"
"VV568","L4F Beam transport Vacuum, VAT 26428-KA41"
"PFS583","Flow sensor, L4F-E3, SMC PFM711"
"PFS584","Flow sensor, L4F-E3, SMC PFMB7102"
"PPS583","Pressure sensor, L4F-E3, R551, SMC 10-ISE30A-C6L-E-L-A3"
"PPS584","Pressure sensor, L4F-E3, R551, SMC 10-ISE30A-C6L-E-L-A3"
"LFS566","L4f BT-E3, TMP583"
"LFS567","L4f BT-E3, TMP584"
"R472","NE controls cabinet C2: Cabinet2 - Front end/Long Pulse"
"R453","Large rack for LPFE main PFNs"
"R454","Large rack for LPFE main PFNs"
"SHU401","Laser beam shutter at the output of the oscillator (SHU OSC)"
"SHU402","Laser beam shutter after the stretcher (SHU FE)"
"LFS401","PA1 Amp 1 Flashlamp Cartridge A Flow Switch"
"LFS402","PA1 Amp 1 Flashlamp Cartridge B Flow Switch"
"LFS403","PA1 Amp 2 Flashlamp Cartridge A Flow Switch"
"LFS404","PA1 Amp 2 Flashlamp Cartridge B Flow Switch"
"LFS405","PA1 Amp 3 Flashlamp Cartridge A Flow Switch"
"LFS406","PA1 Amp 3 Flashlamp Cartridge B Flow Switch"
"LFS407","PA1 Amp 4 Flashlamp Cartridge A Flow Switch"
"LFS408","PA1 Amp 4 Flashlamp Cartridge B Flow Switch"
"LFS409","PA1 Amp 5 Flashlamp Cartridge A Flow Switch"
"LFS410","PA1 Amp 5 Flashlamp Cartridge B Flow Switch"
"LFS411","PA1 Amp 6 Flashlamp Cartridge A Flow Switch"
"LFS412","PA1 Amp 6 Flashlamp Cartridge B Flow Switch"
"LFS413","PA1 Amp 7 Flashlamp Cartridge A Flow Switch"
"LFS414","PA1 Amp 7 Flashlamp Cartridge B Flow Switch"
"LFS415","PA1 Amp 8 Flashlamp Cartridge A Flow Switch"
"LFS416","PA1 Amp 8 Flashlamp Cartridge B Flow Switch"
"LFS417","PA1 Amp 9 Flashlamp Cartridge A Flow Switch"
"LFS418","PA1 Amp 9 Flashlamp Cartridge B Flow Switch"
"LFS419","PA1 Amp 10 Flashlamp Cartridge A Flow Switch"
"LFS420","PA1 Amp 10 Flashlamp Cartridge B Flow Switch"
"LFS421","PA2 Amp 1 Flashlamp Cartridge A Flow Switch"
"LFS422","PA2 Amp 1 Flashlamp Cartridge B Flow Switch"
"LFS423","PA2 Amp 2 Flashlamp Cartridge A Flow Switch"
"LFS424","PA2 Amp 2 Flashlamp Cartridge B Flow Switch"
"LFS425","PA2 Amp 3 Flashlamp Cartridge A Flow Switch"
"LFS426","PA2 Amp 3 Flashlamp Cartridge B Flow Switch"
"LFS427","PA2 Amp 4 Flashlamp Cartridge A Flow Switch"
"LFS428","PA2 Amp 4 Flashlamp Cartridge B Flow Switch"
"LFS429","PA2 Amp 5 Flashlamp Cartridge A Flow Switch"
"LFS430","PA2 Amp 5 Flashlamp Cartridge B Flow Switch"
"LFS431","PA2 Amp 6 Flashlamp Cartridge A Flow Switch"
"LFS432","PA2 Amp 6 Flashlamp Cartridge B Flow Switch"
"LFS433","PA2 Amp 7 Flashlamp Cartridge A Flow Switch"
"LFS434","PA2 Amp 7 Flashlamp Cartridge A Flow Switch"
"WFS402","PA1 WFS - Phasics SID4"
"WFS404","PA1 WFS, Shack-Hartmann"
"FSW409",
"FSW405",
"FSW406",
"FSW407",
"FSW408",
"FSW413",
"SACB430","SACB for flow and pressure sensors for PA1"
"SACB431","SACB for flow switches for PA1"
"SACB432","SACB for flow and pressure sensors for PA1"
"SACB433","SACB for flow switches for PA1"
"SACB434","SACB for flow and pressure sensors for PA1"
"SACB435","SACB for flow switches for PA1"
"SACB436","SACB for flow and pressure sensors for PA1"
"SACB437","SACB for flow and pressure sensors for PA2"
"SACB438","SACB for flow sensors for PA2"
"SACB439","SACB for flow and pressure sensors for PA2"
"SACB440","SACB for flow sensors for PA2"
"SACB441","SACB for flow and pressure sensors for PA2"
"SACB442","SACB for pressure sensors for PA2"
"NSW408","MOXA EDS-G205-1GTXSFP"
"NSW409","MOXA EDS-G205-1GTXSFP"
"NSW412","MOXA EDS-G205-1GTXSFP"
"NSW203","DCN S5750E-28X-SISW for IT management"
"SHU201","Laser beam shutter at the output of the oscillator (SHU OSC)"
"SHU202","Laser beam shutter at the output of the ns stretcher"
"SHU203","Laser beam shutter to block the 820 seed to allow 2um operation (glasses)"
"SHU204","Laser beam shutter at the output of the front end of the SMPA"
"SHU205","Laser beam shutter at the output of the slab multi-pass amplifier"
"SHU206","Laser beam shutter at the output of nanosecond OPA stage 2"
"SHU207","Laser beam shutter inside the integra cavity"
"DPS201","NSPL DIODE POWER SUPPLY 1"
"DPS202","NSPL DIODE POWER SUPPLY 2"
"DPS203","FIBER FRONT END DFB DIODE POWER SUPPLY"
"NSW204","DCN S5750E-52X-SISW for IT utility and management = wall sockets, wifi, DECT, IP-Cameras , etc."
"PNL201","Water supply panel for L2.NSPL and L2.NSOPA"
"PNL202","Water supply panel for L2.BBFE"
"R203","PDC1"
"R204","Pneumatics"
"R205","Motion control"
"R206","ENV/VCS cabinet"
"R207","10J laser system rack"
"R208","10J Cooling system rack"
"R209","Broadband front-end rack 1"
"R210","Broadband front-end rack 2"
"R211","Broadband front end cooling systems rack"
"R212","10J over-table rack"
"R223","PDC2 power distribution cabinet"
"R224","PDC3 power distribution cabinet"
"R225","Safety Interlocks Cabinet"
"R226","Safety Interlocks Cabinet"
"DPS205","LASTRONICS BOOSTER DIODES"
"SHU208","Laser beam shutter on NSPL Fiber front end "
"SACB201","PNL1 devices"
"SACB202","MNF201 devices (solenoid valves)"
"SACB203","MNF201 devices (solenoid valves)"
"SACB204","MNF202 devices (flow meters)"
"SACB205","PNL2 devices"
"SACB206","MNF203 devices (solenoid valves)"
"SACB207","MNF203 devices (solenoid valves)"
"SACB208","MNF204 devices (flow meters)"
"R233","Rack above T2 (SMPA and NSFE)"
"R234","Rack above T3/T4 (SMPA, SHG and MIR CMC diagnostics)"
"R238","Rack above T7 (NIR Compressor Diagnostics)"
"R239","Rack above T9 (NS OPA)"
"R243","Rack above T11 (Stretcher)"
"R244","Rack above T13 (PL1)"
"R245","Rack above T12 (MIR and NIR WLG & psOPA)"
"SACB220","Vacuum sensors"
"SACB221","Vacuum coils"
"SACB222","Vacuum sensors"
"SACB223","Vacuum coils"
"SACB224","Vacuum sensors"
"SACB225","Vacuum coils"
"SACB226","Vacuum sensors"
"SACB227","Vacuum coils"
"SACB228","Vacuum sensors"
"SACB229","Vacuum coils"
"SACB230","Vacuum sensors"
"SACB231","Vacuum coils"
"SACB232","Vacuum sensors"
"SACB233","Vacuum coils"
"SACB234","Vacuum sensors"
"SACB235","Vacuum coils"
"SACB236","Vacuum sensors"
"SACB237","Vacuum coils"
"WV201",
"FSW201",
"APG201",
"APG202",
"APG203",
"APG204",
"APG205",
"APG206",
"APG207",
"APG208",
"APG209",
"APG210",
"APG211",
"APG212",
"APG213",
"APG214",
"APG215",
"APG216",
"APG217",
"APG218",
"APG219",
"APG220",
"APG221",
"BV201",
"BV202",
"BV203",
"BV204",
"BV205",
"BV206",
"BV207",
"BV208",
"BV209",
"BV210",
"BV211",
"BV212",
"BV213",
"BV214",
"BV215",
"BV216",
"BV217",
"BV218",
"BV219",
"BV220",
"BV221",
"VV201",
"VV202",
"VV203",
"VV204",
"VV205",
"VV206",
"VV207",
"VV208",
"VV209",
"VV210",
"VV211",
"VV212",
"VV213",
"VV214",
"VV215",
"VV216",
"VV217",
"VV218",
"VV219",
"VV220",
"VV221",
"RV201",
"RV202",
"R261","Compressor VCS cabinet"
"R262","Compressor MCS cabinet 1"
"R263","Compressor MCS cabinet 2"
"R271","Rockwell PSI cabinet"
"R227","VCS for Cryo system and for MIR CMC - not yet installed (adjacent to R209 on East side)"
"R228","Spare cabinet - not yet installed (adjacent to R209 on East side)"
"SHU209","Laser beam shutter on the output of the MIR CMC (before transport to injector)"
"TEC202","TE TEC board RS Link Addr: 1"
"R235","RACK BELOW T2 (lASTRONIX PULSERS)"
"R236","RACK BELOW T3 (lASTRONIX PULSERS)"
"R237","RACK BELOW T1 (lASTRONIX PULSERS - BOOSTER)"
"KVM201","KVM extender TRIPPLITE B127A-1A1-BDBH"
